id	provider
1	stadtmobil Stuttgart
2	Flinkster - Mein Carsharing
3	CarSharing Renningen
4	CarSharing Weil der Stadt
5	Car Sharing Wendlingen
6	stadtmobil Karlsruhe
7	Die Stromer e.V.
8	TeilAuto SchwÃ¤bisch Hall
9	Gemeinschaft Tempelhof
10	stadtmobil Rhein-Neckar
11	Stadtmobil CarSharing SÃ¼dbaden
12	my-e-car
13	Car-Sharing Breisach-Ihringen
14	Car-Sharing ZweitÃ¤lerland
15	carsharing lahr
16	Autoteiler Konstanz
17	teilAuto Carsharing Neckar-Alb
18	teilAuto MÃ¶ssingen
19	conficars
20	teilAuto Biberach
21	OberSchwabenMobil Ravensburg
22	scouter
23	STATTAUTO MÃ¼nchen
24	Movio Carsharing
25	STATTAUTO Isarwinkel
26	Ebersberger Autoteiler
27	Grafinger Auto-Teiler
28	Glonner Auto-Teiler (GlATT)
29	Markt Kirchseeoner Auto-Teiler
30	Carsharing Markt Schwaben
31	Poinger Autoteiler Initiative
32	Vaterstettener Auto-Teiler
33	CarSharing Erding
34	StadtTeilAuto Freising
35	Ã–koMobil
36	CarSharing DieÃŸen e.V.
37	CarSharing Schondorf
38	CarSharing Utting e.V.
39	immer mobil
40	KÃ¶nigsbrunner Auto-Teiler
41	Bad Endorfer AutoTeiler
42	Ã¼berall carsharing
43	Wasserburger Autoteiler
44	ps-sharing
45	Carsharing Traunstein
46	Autoteilen Landshut
47	CarSharing Passau
48	das Stadtwerk.Earl
49	Ã–kobil Bamberg
50	BayreuthMobil
51	AUTOparat
52	CarSharing Muhr
53	CarSharing Erlangen
54	book-n-drive Carsharing
55	CarSharing Oberasbach
56	Gemeinschaftsauto Regional Versorgt
57	Carsharing Aschaffenburg
58	IsaCar
59	swa Carsharing
60	Carsharing Kaufbeuren
61	stadtflitzer Carsharing
62	teil-Auto
63	BeiAnrufAuto
64	stadtmobil Berlin
65	YourCar Cottbus
66	cambio Bremen
67	cambio Hamburg
68	stadtmobil Rhein-Main
69	RegioMobil
70	Stattauto Kassel
71	Meck Schweizer Carsharing
72	YourCar Rostock
73	Stadt-teil-Auto GÃ¶ttingen
74	GrÃ¼nes Auto GÃ¶ttingen
75	stadtmobil Hannover
76	DORF-FLITZER
77	cambio Hamburg-Metropolregion
78	Carsharing im Wendland
79	allerauto
80	cambio Oldenburg
81	stadtteilauto
82	stadtmobil Rhein-Ruhr
83	cambio Rheinland
84	cambio Wuppertal
85	cambio Bonn
86	Stattauto Bonn
87	Flexicar
88	cambio Aachen
89	Stadtteilauto Carsharing MÃ¼nster
90	Teilautos
91	cambio Bielefeld
92	Stattauto Detmold
93	Willmobil Carsharing
94	Statt-Auto Herdecke
95	teilAuto Koblenz
