district	standort	anbieter	entfernung	standord_id	anbieter_id	district_autocomplete	scale_info
70173  STUTTGART	Hauptbahnhof / i-Punkt	stadtmobil Stuttgart	0,0 km	/standort/125130073	/anbieter/125130000	70173 Stuttgart, Germany	1000 m
70173  STUTTGART	Hauptbahnhof / Kronenstraße 15	stadtmobil Stuttgart	0,3 km	/standort/125131434	/anbieter/125130000	70173 Stuttgart, Germany	1000 m
70173  STUTTGART	Hauptbahnhof / Lautenschlagerstr. 20	stadtmobil Stuttgart	0,4 km	/standort/125132154	/anbieter/125130000	70173 Stuttgart, Germany	1000 m
70173  STUTTGART	Hbf Stuttgart	Flinkster - Mein Carsharing	0,4 km	/standort/120430099	/anbieter/120430000	70173 Stuttgart, Germany	1000 m
70173  STUTTGART	Urbanstraße 49	stadtmobil Stuttgart	0,4 km	/standort/125131420	/anbieter/125130000	70173 Stuttgart, Germany	1000 m
70173  STUTTGART	Charlottenplatz	stadtmobil Stuttgart	0,9 km	/standort/125134921	/anbieter/125130000	70173 Stuttgart, Germany	1000 m
70173  STUTTGART	Heilmannstr. (Neckartor)	stadtmobil Stuttgart	0,9 km	/standort/125132248	/anbieter/125130000	70173 Stuttgart, Germany	1000 m
70173  STUTTGART	Olgaeck	stadtmobil Stuttgart	0,9 km	/standort/125130074	/anbieter/125130000	70173 Stuttgart, Germany	1000 m
70173  STUTTGART	Gymnasiumstraße	stadtmobil Stuttgart	1,0 km	/standort/125134152	/anbieter/125130000	70173 Stuttgart, Germany	1000 m
70173  STUTTGART	Türlenstr.	stadtmobil Stuttgart	1,0 km	/standort/125131287	/anbieter/125130000	70173 Stuttgart, Germany	1000 m
71134  AIDLINGEN	NA	NA	NA	NA	NA	71134 Aidlingen, Germany	1000 m
71155  ALTDORF	NA	NA	NA	NA	NA	71155 Altdorf, Germany	1000 m
71032  BOEBLINGEN	NA	NA	NA	NA	NA	71032 Böblingen, Germany	1000 m
71149  BONDORF	NA	NA	NA	NA	NA	71149 Bondorf, Germany	1000 m
75392  DECKENPFRONN	NA	NA	NA	NA	NA	75392 Deckenpfronn, Germany	1000 m
71139  EHNINGEN	NA	NA	NA	NA	NA	71139 Ehningen, Germany	1000 m
71116  GAERTRINGEN	Gärtringen Bahnhof	stadtmobil Stuttgart	0,4 km	/standort/125133781	/anbieter/125130000	71116 Gärtringen, Germany	1000 m
71126  GAEUFELDEN	NA	NA	NA	NA	NA	71126 Gäufelden, Germany	1000 m
71120  GRAFENAU	NA	NA	NA	NA	NA	71120 Grafenau, Germany	1000 m
