district	district_autocomplete	provider	provider_id	location	location_id	distance_from_center	scale_info
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Senefelder Str. 35B - Hinterhof	125131322	1800	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Ostendstraße 105	125132373	1900	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Fangelsbachstr. 28b	125132218	1900	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Ostendplatz	125130075	1900	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Killesberg / Brenzkirche	125132634	1900	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Gablenberg / Klingenstr.	125131314	2000	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Augustenstraße 60	125133183	2000	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	Flinkster - Mein Carsharing	120430000	Schlossstraße	120430103	1600	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Rosenbergstraße 52	125132476	1600	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Friedrich-Eugens-Gymnasium	125132860	1600	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Schloß-/Johannesstr.	125130206	1700	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Hölderlinplatz - Silberburgstr.23	125132632	1700	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Kübler Areal	125134963	1800	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Gablenberg / Schmalzmarkt	125132227	1800	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Senefelderstr. 52 - Post	125130919	1800	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Gablenberger Hauptstraße 32	125133258	1800	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Lerchenstraße 73	125132401	1800	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Schloßstraße 60	125132386	1400	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Paulinenstraße	125134154	1400	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Herzogstr. (Finanzamt)	125130925	1500	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Schlosserstr. 9	125132618	1500	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Neckarstraße 180	125132171	1500	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Milchhof (Eckartstraße)	125133537	1500	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Österreichischer Platz	125130722	1500	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Silberburg- / Ludwigstraße	125132497	1500	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Wunnensteinstraße 27	125131419	1600	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Russische Kirche	125131925	1600	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Heidehofstraße	125130928	1000	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Stöckach	125130867	1200	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Bubenbad	125131751	1200	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Hohenheimer Str. (Bethesda Krankenhaus)	125132215	1300	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Azenbergstraße	125131436	1300	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Höscheleweg 4	125133247	1300	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Hauptstätter Str. (Wilhelmsplatz)	125134171	1300	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Haußmannstr. / Rotenbergstr.	125134223	1300	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Dobelstr. (Nagelstr.)	125130661	1300	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Hoppenlau-Schule	125130166	1300	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Hauptbahnhof / i-Punkt	125130073	0	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Hauptbahnhof / Kronenstraße 15	125131434	300	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Hauptbahnhof / Lautenschlagerstr. 20	125132154	400	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	Flinkster - Mein Carsharing	120430000	Hbf Stuttgart	120430099	400	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Urbanstraße 49	125131420	400	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Charlottenplatz	125134921	900	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Heilmannstr. (Neckartor)	125132248	900	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Olgaeck	125130074	900	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Gymnasiumstraße	125134152	1000	1000 m
70173  STUTTGART	70173 Stuttgart, Germany	stadtmobil Stuttgart	125130000	Türlenstr.	125131287	1000	1000 m
71134  AIDLINGEN	71134 Aidlingen, Germany	NA	NA	NA	NA	NA	1000 m
71155  ALTDORF	71155 Altdorf, Germany	NA	NA	NA	NA	NA	1000 m
71032  BOEBLINGEN	71032 Böblingen, Germany	NA	NA	NA	NA	NA	1000 m
71149  BONDORF	71149 Bondorf, Germany	NA	NA	NA	NA	NA	1000 m
75392  DECKENPFRONN	75392 Deckenpfronn, Germany	NA	NA	NA	NA	NA	1000 m
71139  EHNINGEN	71139 Ehningen, Germany	NA	NA	NA	NA	NA	1000 m
71116  GAERTRINGEN	71116 Gärtringen, Germany	stadtmobil Stuttgart	125130000	Gärtringen Bahnhof	125133781	400	1000 m
71126  GAEUFELDEN	71126 Gäufelden, Germany	NA	NA	NA	NA	NA	1000 m
71120  GRAFENAU	71120 Grafenau, Germany	NA	NA	NA	NA	NA	1000 m
71083  HERRENBERG	71083 Herrenberg, Germany	stadtmobil Stuttgart	125130000	Hasenplatz	125133174	900	1000 m
71083  HERRENBERG	71083 Herrenberg, Germany	stadtmobil Stuttgart	125130000	Herrenberg Bahnhof (P+R-Anlage Süd)	125132585	1400	1000 m
71157  HILDRIZHAUSEN	71157 Hildrizhausen, Germany	NA	NA	NA	NA	NA	1000 m
71088  HOLZGERLINGEN	71088 Holzgerlingen, Germany	NA	NA	NA	NA	NA	1000 m
71131  JETTINGEN	71131 Jettingen, Germany	NA	NA	NA	NA	NA	1000 m
71229  LEONBERG	71229 Leonberg, Germany	stadtmobil Stuttgart	125130000	Leonberg Bahnhof	125133929	400	1000 m
71106  MAGSTADT	71106 Magstadt, Germany	NA	NA	NA	NA	NA	1000 m
71159  MOETZINGEN	71159 Mötzingen, Germany	NA	NA	NA	NA	NA	1000 m
71154  NUFRINGEN	71154 Nufringen, Germany	NA	NA	NA	NA	NA	1000 m
71272  RENNINGEN	71272 Renningen, Germany	CarSharing Renningen	120670000	Renningen Goethestraße	120670020	400	1000 m
71272  RENNINGEN	71272 Renningen, Germany	CarSharing Renningen	120670000	Renningen Bahnhof	120670070	400	1000 m
71272  RENNINGEN	71272 Renningen, Germany	CarSharing Renningen	120670000	Renningen Wiesenstraße	120670030	500	1000 m
71272  RENNINGEN	71272 Renningen, Germany	CarSharing Renningen	120670000	Renningen Rutesheimer Straße	120670010	600	1000 m
71272  RENNINGEN	71272 Renningen, Germany	CarSharing Renningen	120670000	Renningen Südbahnhof	120670040	900	1000 m
71272  RENNINGEN	71272 Renningen, Germany	CarSharing Renningen	120670000	Renningen Am Schlaggraben	120670050	900	1000 m
71272  RENNINGEN	71272 Renningen, Germany	CarSharing Renningen	120670000	Renningen Merowinger Weg	120670060	900	1000 m
71272  RENNINGEN	71272 Renningen, Germany	CarSharing Renningen	120670000	Malmsheim Strohgäustraße	120670130	1200	1000 m
71272  RENNINGEN	71272 Renningen, Germany	CarSharing Renningen	120670000	Malmsheim Nelkenstraße	120670120	1300	1000 m
71272  RENNINGEN	71272 Renningen, Germany	CarSharing Renningen	120670000	Malmsheim Amselweg	120670110	1700	1000 m
71277  RUTESHEIM	71277 Rutesheim, Germany	NA	NA	NA	NA	NA	1000 m
71101  SCHOENAICH	71101 Schönaich, Germany	NA	NA	NA	NA	NA	1000 m
71063  SINDELFINGEN	71063 Sindelfingen, Germany	stadtmobil Stuttgart	125130000	Sindelfingen Bahnhof	125130119	1000	1000 m
71144  STEINENBRONN	71144 Steinenbronn, Germany	NA	NA	NA	NA	NA	1000 m
