district_clean	zip_code	district_name	lon	lat	type	loctype	address	north	south	east	west
70173  STUTTGART	70173	STUTTGART	9.182863099999999	48.78270269999999	postal_code	approximate	70173 stuttgart, germany	48.7923532	48.7717898	9.191189699999999	9.170422799999999
71134  AIDLINGEN	71134	AIDLINGEN	8.8855667	48.6884647	postal_code	approximate	71134 aidlingen, germany	48.7099966	48.6538927	8.930078	8.825638399999999
71155  ALTDORF	71155	ALTDORF	9.0050434	48.6033543	postal_code	approximate	71155 altdorf, germany	48.647712	48.5759652	9.0428684	8.976835399999999
71032  BOEBLINGEN	71032	BOEBLINGEN	9.055195	48.6802429	postal_code	approximate	71032 böblingen, germany	48.7027059	48.66005579999999	9.113545499999999	9.0040985
71149  BONDORF	71149	BONDORF	8.8282771	48.5263115	postal_code	approximate	71149 bondorf, germany	48.54234229999999	48.4976534	8.864674299999999	8.7849714
75392  DECKENPFRONN	75392	DECKENPFRONN	8.8233983	48.6505078	locality	approximate	75392 deckenpfronn, germany	48.6666946	48.6336854	8.852597	8.7908189
71139  EHNINGEN	71139	EHNINGEN	8.9461595	48.6584785	postal_code	approximate	71139 ehningen, germany	48.6756877	48.6396769	8.9900393	8.9024121
71116  GAERTRINGEN	71116	GAERTRINGEN	8.9029165	48.641586	locality	approximate	71116 gärtringen, germany	48.6622831	48.6143641	8.9726667	8.8450204
71126  GAEUFELDEN	71126	GAEUFELDEN	8.837527500000002	48.5558483	postal_code	approximate	71126 gäufelden, germany	48.57707509999999	48.5371513	8.891871	8.7916221
71120  GRAFENAU	71120	GRAFENAU	8.9121197	48.7144885	postal_code	approximate	71120 grafenau, germany	48.7311965	48.6964416	8.9440557	8.8550439
71083  HERRENBERG	71083	HERRENBERG	8.879328	48.5879291	postal_code	approximate	71083 herrenberg, germany	48.6393068	48.5602432	8.9791185	8.7899327
71157  HILDRIZHAUSEN	71157	HILDRIZHAUSEN	8.9700496	48.6254619	postal_code	approximate	71157 hildrizhausen, germany	48.646569	48.5951361	8.9897863	8.919244599999999
71088  HOLZGERLINGEN	71088	HOLZGERLINGEN	9.0176454	48.6427688	postal_code	approximate	71088 holzgerlingen, germany	48.6632569	48.6066751	9.048224	8.9839881
71131  JETTINGEN	71131	JETTINGEN	8.778521099999999	48.56952099999999	locality	approximate	71131 jettingen, germany	48.6050345	48.54810579999999	8.825082900000002	8.746412
71229  LEONBERG	71229	LEONBERG	8.997988	48.8011637	postal_code	approximate	71229 leonberg, germany	48.8334212	48.7465297	9.068812099999999	8.9556141
71106  MAGSTADT	71106	MAGSTADT	8.9744064	48.7473056	postal_code	approximate	71106 magstadt, germany	48.7651605	48.7272214	9.0385844	8.929170599999999
71159  MOETZINGEN	71159	MOETZINGEN	8.7737939	48.5350177	locality	approximate	71159 mötzingen, germany	48.5497984	48.5210663	8.8089356	8.7554771
71154  NUFRINGEN	71154	NUFRINGEN	8.8964043	48.6219403	postal_code	approximate	71154 nufringen, germany	48.636364	48.60570999999999	8.9298044	8.864158399999999
71272  RENNINGEN	71272	RENNINGEN	8.930791	48.77096179999999	postal_code	approximate	71272 renningen, germany	48.8090262	48.7364905	8.976487299999999	8.8782146
71277  RUTESHEIM	71277	RUTESHEIM	8.9308473	48.8114796	postal_code	approximate	71277 rutesheim, germany	48.8314532	48.7900944	8.9675993	8.8903172
71101  SCHOENAICH	71101	SCHOENAICH	9.061313	48.6595376	postal_code	approximate	71101 schönaich, germany	48.67407	48.641741	9.1060509	9.022015099999999
71063  SINDELFINGEN	71063	SINDELFINGEN	9.0000948	48.7131518	postal_code	approximate	71063 sindelfingen, germany	48.7254706	48.6876129	9.0140005	8.9703574
71144  STEINENBRONN	71144	STEINENBRONN	9.1143327	48.6654418	postal_code	approximate	71144 steinenbronn, germany	48.680644	48.6438812	9.157225799999999	9.0885006
71111  WALDENBUCH	71111	WALDENBUCH	9.138027	48.6408189	locality	approximate	71111 waldenbuch, germany	48.6579297	48.60011919999999	9.1736981	9.0878181
71263  WEIL DER STADT	71263	WEIL DER STADT	8.8544372	48.7515726	postal_code	approximate	71263 weil der stadt, germany	48.8029591	48.7178876	8.9320727	8.799654499999999
71093  WEIL IM SCHOENBUCH	71093	WEIL IM SCHOENBUCH	9.0657204	48.613717	postal_code	approximate	71093 weil im schönbuch, germany	48.6477842	48.5878654	9.101415	9.021723099999999
71287  WEISSACH	71287	WEISSACH	8.9355824	48.8465917	postal_code	approximate	71287 weissach, germany	48.8676319	48.8159943	8.965217899999999	8.871589
72631  AICHTAL	72631	AICHTAL	9.241857399999999	48.62489739999999	postal_code	approximate	72631 aichtal, germany	48.6512564	48.6045824	9.2938336	9.143723999999999
73773  AICHWALD	73773	AICHWALD	9.3891294	48.76168440000001	postal_code	approximate	73773 aichwald, germany	48.788145	48.743911	9.419683299999999	9.3441464
73776  ALTBACH	73776	ALTBACH	9.381644399999999	48.7273427	postal_code	approximate	73776 altbach, germany	48.739002	48.7167853	9.3938437	9.3630748
72655  ALTDORF	72655	ALTDORF	9.2734854	48.5945556	postal_code	approximate	72655 altdorf, germany	48.6023407	48.5834377	9.2915507	9.2578979
72657  ALTENRIET	72657	ALTENRIET	9.2095719	48.5946641	postal_code	approximate	72657 altenriet, germany	48.5985336	48.5805626	9.2348149	9.197656
73666  BALTMANNSWEILER	73666	BALTMANNSWEILER	9.442359399999999	48.7451443	postal_code	approximate	73666 baltmannsweiler, germany	48.77768709999999	48.7219045	9.4772011	9.4119104
72658  BEMPFLINGEN	72658	BEMPFLINGEN	9.2655088	48.5734809	locality	approximate	72658 bempflingen, germany	48.5893044	48.5651771	9.302219299999999	9.250022399999999
72660  BEUREN	72660	BEUREN	9.4034788	48.5713255	postal_code	approximate	72660 beuren, germany	48.60756989999999	48.5535372	9.4332277	9.3733138
73266  BISSINGEN AN DER TECK	73266	BISSINGEN AN DER TECK	9.491481499999999	48.6006493	locality	approximate	73266 bissingen, germany	48.61072979999999	48.56035560000001	9.545575	9.4704652
73779  DEIZISAU	73779	DEIZISAU	9.387044999999999	48.7119155	postal_code	approximate	73779 deizisau, germany	48.7185251	48.6994623	9.4133177	9.355178
73770  DENKENDORF	73770	DENKENDORF	9.314527	48.6897975	postal_code	approximate	73770 denkendorf, germany	48.7141102	48.6672753	9.371457999999999	9.2882012
73265  DETTINGEN UNTER TECK	73265	DETTINGEN UNTER TECK	9.4449088	48.61843349999999	postal_code	approximate	73265 dettingen unter teck, germany	48.6320808	48.5929209	9.4800472	9.402315699999999
73268  ERKENBRECHTSWEILER	73268	ERKENBRECHTSWEILER	9.4218619	48.5496188	postal_code	approximate	73268 erkenbrechtsweiler, germany	48.5698291	48.53566439999999	9.4586358	9.402514499999999
73728  ESSLINGEN AM NECKAR	73728	ESSLINGEN AM NECKAR	9.308109499999999	48.7384056	postal_code	approximate	73728 esslingen, germany	48.7519581	48.72776	9.3280488	9.283333700000002
